Average females per simulations :           2.2697984698E8
Average males per simulations   :           2.2697993127E8
Average deaths per simulations  :           2.0645748351E8
Average population size per simulations :   4.5395977825E8
Average births per simulations          :   3.4225935034E8

Average % females per simulations. :     50.0%
Average % males per simulations.   :     50.0%
------------ SIMULATION -------------

(1,8)

(2,19)

(3,76)

(4,366)

(5,1869)

(6,9566)

(7,48009)

(8,241830)

(9,1207902)

(10,6037039)

(11,10278043)

(12,21413702)

(13,31355563)

(14,47282284)

(15,69837244)

(16,106119750)

(17,158692722)

(18,230536944)

(19,331029962)

(20,475690012)
-------------------------------------------------
------------ SIMULATION -------------

(1,8)

(2,36)

(3,178)

(4,945)

(5,4751)

(6,23628)

(7,118287)

(8,593396)

(9,2970469)

(10,5094685)

(11,10964880)

(12,22553694)

(13,32773820)

(14,51727367)

(15,74911706)

(16,108487872)

(17,163410920)

(18,238521573)

(19,328134885)

(20,446343882)
-------------------------------------------------
------------ SIMULATION -------------

(1,8)

(2,41)

(3,176)

(4,901)

(5,4787)

(6,24346)

(7,122262)

(8,608404)

(9,3038755)

(10,5108718)

(11,10801272)

(12,22162828)

(13,31750048)

(14,48446512)

(15,70963062)

(16,104765427)

(17,158990680)

(18,228850054)

(19,334657917)

(20,480219651)
-------------------------------------------------
------------ SIMULATION -------------

(1,8)

(2,2)

(3,0)

(4,0)

(5,0)

(6,0)

(7,0)

(8,0)

(9,0)

(10,0)

(11,0)

(12,0)

(13,0)

(14,0)

(15,0)

(16,0)

(17,0)

(18,0)

(19,0)

(20,0)
-------------------------------------------------
------------ SIMULATION -------------

(1,8)

(2,29)

(3,160)

(4,819)

(5,4125)

(6,20407)

(7,102799)

(8,513603)

(9,2571249)

(10,4262166)

(11,9114059)

(12,17722187)

(13,28207464)

(14,42809584)

(15,68130690)

(16,100024375)

(17,142420663)

(18,214090491)

(19,309145975)

(20,413708915)
-------------------------------------------------
------------ SIMULATION -------------

(1,8)

(2,61)

(3,250)

(4,1132)

(5,5743)

(6,28219)

(7,140641)

(8,705808)

(9,3525104)

(10,5877537)

(11,12814473)

(12,26268490)

(13,39472447)

(14,64232547)

(15,92946879)

(16,139843717)

(17,199826884)

(18,279630475)

(19,418576963)

(20,559603404)
-------------------------------------------------
------------ SIMULATION -------------

(1,8)

(2,36)

(3,160)

(4,712)

(5,3557)

(6,17790)

(7,90087)

(8,449350)

(9,2242626)

(10,3577763)

(11,7894362)

(12,15950821)

(13,24712214)

(14,40038353)

(15,63010695)

(16,88534874)

(17,132695356)

(18,188443527)

(19,273008830)

(20,403512845)
-------------------------------------------------
------------ SIMULATION -------------

(1,8)

(2,51)

(3,195)

(4,895)

(5,4492)

(6,22346)

(7,114394)

(8,570668)

(9,2851648)

(10,4664258)

(11,9873321)

(12,20224007)

(13,30342989)

(14,49382553)

(15,71105064)

(16,104566827)

(17,156592452)

(18,231739225)

(19,336742458)

(20,471715023)
-------------------------------------------------
------------ SIMULATION -------------

(1,8)

(2,29)

(3,164)

(4,891)

(5,4613)

(6,22929)

(7,115569)

(8,576755)

(9,2881081)

(10,5018581)

(11,10682753)

(12,22141061)

(13,33467554)

(14,52912124)

(15,78326997)

(16,112313287)

(17,158946872)

(18,233816919)

(19,340571113)

(20,503264631)
-------------------------------------------------
------------ SIMULATION -------------

(1,8)

(2,36)

(3,183)

(4,943)

(5,4775)

(6,23656)

(7,119314)

(8,597443)

(9,2985820)

(10,5057961)

(11,10528460)

(12,20792052)

(13,30996535)

(14,48673682)

(15,69168737)

(16,104674461)

(17,151189393)

(18,225356720)

(19,311671312)

(20,462208773)
-------------------------------------------------
------------ SIMULATION -------------

(1,8)

(2,36)

(3,138)

(4,640)

(5,3187)

(6,15800)

(7,80493)

(8,402681)

(9,2014010)

(10,10059941)

(11,15822757)

(12,24223256)

(13,37037291)

(14,58067804)

(15,87401956)

(16,125575472)

(17,186109092)

(18,279502405)

(19,398255305)

(20,591637657)
-------------------------------------------------
------------ SIMULATION -------------

(1,8)

(2,41)

(3,218)

(4,1093)

(5,5529)

(6,27279)

(7,135370)

(8,676223)

(9,3378270)

(10,5883439)

(11,12701830)

(12,25242326)

(13,39451054)

(14,60517863)

(15,85196367)

(16,119757467)

(17,179975923)

(18,255376372)

(19,358769773)

(20,513117689)
-------------------------------------------------
------------ SIMULATION -------------

(1,8)

(2,41)

(3,190)

(4,858)

(5,4345)

(6,21463)

(7,107157)

(8,534369)

(9,2669890)

(10,4471558)

(11,9672723)

(12,19948015)

(13,29161319)

(14,45623298)

(15,68195387)

(16,93566406)

(17,141657068)

(18,211277961)

(19,299598822)

(20,443848317)
-------------------------------------------------
------------ SIMULATION -------------

(1,8)

(2,16)

(3,39)

(4,169)

(5,848)

(6,4383)

(7,21801)

(8,109324)

(9,546798)

(10,2729208)

(11,4411153)

(12,9480885)

(13,19140238)

(14,28422573)

(15,42551827)

(16,68696492)

(17,97997222)

(18,148947992)

(19,226921274)

(20,337115439)
-------------------------------------------------
------------ SIMULATION -------------

(1,8)

(2,36)

(3,178)

(4,985)

(5,5059)

(6,25354)

(7,127524)

(8,638166)

(9,3189277)

(10,5186433)

(11,10986726)

(12,22317053)

(13,32372943)

(14,52476541)

(15,76918016)

(16,115210604)

(17,174983668)

(18,257746711)

(19,358743413)

(20,516298324)
-------------------------------------------------
------------ SIMULATION -------------

(1,8)

(2,36)

(3,172)

(4,806)

(5,3976)

(6,19872)

(7,100228)

(8,498307)

(9,2489583)

(10,4133496)

(11,9039627)

(12,17626749)

(13,25604205)

(14,39861098)

(15,63927496)

(16,93423248)

(17,130401690)

(18,198432703)

(19,286196361)

(20,421148691)
-------------------------------------------------
------------ SIMULATION -------------

(1,8)

(2,36)

(3,193)

(4,847)

(5,4359)

(6,21222)

(7,107014)

(8,536054)

(9,2682398)

(10,4229440)

